title,year,tags,type_of_document,origin_of_document,caption,authors_of_document,collections,url
La planète est-elle un complot ?,2021,"[ ""Marie Lechner"" ]",article de presse,Multitudes,"C’est en regardant le portrait aberrant de la planétarité relétée sur le miroir des complotismes environnementaux que la dificulté collective d’assumer cette échelle écologique se dévoile impitoyablement. Un tel malaise n’est pas seulement lié à une incapacité humaine et individuelle d’accepter la complexité de la crise planétaire. Elle émane de l’ensemble des rapports socio-politiques (verticaux, élitistes) que nous entretenons avec les méditations techniques qui permettent la perception, mais aussi la réparation, de notre planète.",Jacopo Rasmi,"[ ""2.2. Produire une critique de l’IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20230702_165010-y4f
Owning Ethics,2019,"[ ""Hubert Guillaud"" ]",article scientifique,Social Research: An international quaterly,enquête dans les département d'éthique des entreprises de tech de la Silicon Valley,"Jacob Metcalf, Emanuel Moss, danah boyd","[ ""2.2. Produire une critique de l’IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220606_204017-kwh
EDRi (ONG),2022,"[ ""Félix Tréguer"" ]",association,EDRi (site),Equipe du réseau EDRi - EDRi is the biggest European network defending rights and freedoms online.,,"[ ""2.2. Produire une critique de l’IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220612_225338-fal
L'utopie déchue. Une contre-histoire d'Internet. XVe-XXIe siècle,2019,"[ ""Dominique Cardon"" ]",livre,Fayard,Livre de Félix Tréguer qui propose une contre-histoire d'Internet,Félix Tréguer,"[ ""2.2. Produire une critique de l’IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220531_103328-6th
Enquête sur les modes d'existence. Une anthropologie des modernes,2012,"[ ""Dominique Cardon"" ]",livre,La Découverte,Livre de Bruno Latour autour des modes d'existence,Bruno Latour,"[ ""2.2. Produire une critique de l’IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220531_103916-tm4
Célia Izoard | Merci de changer de métier,2020,"[ ""Félix Tréguer"" ]",livre,Zulma,,Célia Izoard,"[ ""2.2. Produire une critique de l’IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20230629_111419-ted
Apocalypse Joyeuse | JB Fressoz,2012,"[ ""Félix Tréguer"" ]",livre,Seuil,Une histoire du risque technologique,JB Fressoz,"[ ""2.2. Produire une critique de l’IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20230629_115119-jj8
Automating Society / Taking Stock of Automated Decision-Making in the EU,2019,"[ ""Hubert Guillaud"" ]",rapport,AlgorithmWatch,Rapport de l'association AlgorithmWatch sur les applications des outils automatiques d'aide à la décision dans le secteur public en Europe,AlgorithmWatch,"[ ""2.2. Produire une critique de l’IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220606_204634-03c
Weapons of Math Destruction,2016,"[ ""Hubert Guillaud"" ]",vidéo,youtube,Présentation de la recherche de Cath O'Neil à Google. L'autrice met en avant les risques de l'utilisation des big data vis-à-vis des inégalités et de la démocratie.,Cathy O'Neil,"[ ""2.2. Produire une critique de l’IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220606_194440-e74
Nooscope,2020,"[ ""Marie Lechner"" ]",diagramme,Nooscope.ai,,Vladan Joler et Matteo Pasquinelli,"[ ""2.2. Produire une critique de l’IA"", ""1.1. Définir l'IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20230702_165635-na9
D'un peu de lucidité sur les ravages du techno-libéralisme,2021,"[ ""Romain Boucher"" ]",rapport,Vous n'êtres pas seuls,,Romain Boucher,"[ ""2.2. Produire une critique de l’IA"", ""1.4. Écologiser l’IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220612_222530-ali
Essor | Reconnaissance faciale,2019,"[ ""Félix Tréguer"" ]",article (presse spécialisée),Essor,Article paru dans le journal de la gendarmerie nationale sur la reconnaissance faciale après une journée de présentation de systèmes de videosurveillance automatisée.,Essor,"[ ""2.2. Produire une critique de l’IA"", ""3.2. Expérimenter l’IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20230629_110706-rq6
AI weirdness | Janell Shane,2021,"[ ""Lucie Ronfaut"" ]",article de blog,Blog,New Years Resolutions generated by AI,Janelle Shane,"[ ""2.3. Ouvrir les boîtes noires"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20230629_153344-yl9
Technopolice | Le retour des mouchards,2021,"[ ""Marie Lechner"" ]",article de blog,Technopolice,Ecoute urbaine couplée à de la vidéo - technologie expérimentée à Orléans. Enquête et description de l'expérimentation,Alouette,"[ ""2.3. Ouvrir les boîtes noires"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20230629_153752-3nd
La matérialité révélatrice de l'apprentissage automatique,2020,"[ ""Hugo Scurto"" ]",article scientifique,Espace: art actuel,"Audry, S. (2020). La matérialité révélatrice de l’apprentissage automatique. Espace: art actuel, (124), 44-49.",Sofian Audry,"[ ""2.3. Ouvrir les boîtes noires"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220612_220235-bwf
Human Perceptron (workshop),2016,"[ ""RYBN"" ]",compte rendu,RYBN site web,,RYBN,"[ ""2.3. Ouvrir les boîtes noires"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20230629_153547-mwa
Learning from Youtube,2018,"[ ""Marie Lechner"" ]",essai,site personnel,,Sean Dockray,"[ ""2.3. Ouvrir les boîtes noires"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20230629_153959-iwm
"Un monde inexplicable, article d'Hubert Guillaud dans la revue Tèque",2022,"[ ""Hubert Guillaud"" ]",essai,Tèque,"Article proposant une réflexion sur l'explicabilité, écrit par Hubert Guillaud pour le premier numéro de la revue Tèque qui s'intéresse aux relations entre technologies et société.",Hubert Guillaud,"[ ""2.3. Ouvrir les boîtes noires"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220606_165342-r6h
Rendre visible le corps et ses douleurs : les technologies de l’endométriose,2018,"[ ""Lucie Ronfaut"" ]",essai,FemTech,,Marion Coville,"[ ""2.3. Ouvrir les boîtes noires"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20221017_055225-7hk
Technopolice | Contexte d'intégration dans le Système d'Information de la Ville de Marseille,2017,,interface,,Extrait de la base de données Technopolice présentant un document lié à un appel d'offre Big Data de la Direction de l'Innovation Numérique et Systèmes d'Information de la ville de Marseille.,Quadrature du Net,"[ ""2.3. Ouvrir les boîtes noires"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220606_163557-gbz
Image Roulette,2019,"[ ""Marie Lechner"" ]",Interface,site web,,Trevor Paglen,"[ ""2.3. Ouvrir les boîtes noires"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20230702_165152-yhv
Chant des neurones - Nicolas Giret,2017,"[ ""Marie Lechner"" ]",œuvre,Site de l'ENSAPC,"Présentation du projet ""Chant des neurones"" du chercheur CNRS Nicolas Giret",Nicolas Giret,"[ ""2.3. Ouvrir les boîtes noires"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220611_154520-ony
portfolio d'Hugo Scurto - projets de design utilisant du ML,2022,"[ ""Hugo Scurto"" ]",portfolio,Hugo Scurto (site web),Présentation des projets de design réalisés par Hugo Scurto sur son site web.,Hugo Scurto,"[ ""2.3. Ouvrir les boîtes noires"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20221020_145203-iqv
Memo Akten | Deep Visual Instruments (Thèse),2021,"[ ""Hugo Scurto"" ]",thèse de doctorat,Site web perso,,Memo Akten,"[ ""2.3. Ouvrir les boîtes noires"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20230629_154514-su3
Machine Learning as Meta-instrument,2021,"[ ""Hugo Scurto"" ]",vidéo,Youtube,,Rebecca Fiebrink,"[ ""2.3. Ouvrir les boîtes noires"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20230629_154621-o67
Technopolice | Forum,2022,"[ ""Félix Tréguer"" ]",forum,Site web Technopolice,,La Quadrature du Net,"[ ""2.3. Ouvrir les boîtes noires"", ""0. Des modes de participation à l'IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20230629_114833-yne
Technopolice | Mode d'emploi,2022,"[ ""Félix Tréguer"" ]",guide,Site web,,La Quadrature du Net,"[ ""2.3. Ouvrir les boîtes noires"", ""0. Des modes de participation à l'IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20230629_111542-pe4
Rapport de la mission Etalab sur les conditions d’ouverture du système APB,2017,"[ ""Hubert Guillaud"" ]",rapport,Etalab,"Evalution du système Admission Post-Bac, successeur de Parcours Sup, demandé par le Premier Ministre à Etalab","Etalab (Christophe Benz, Simon Chignard, Laurent Joubert, Laure Lucchesi, Thomas Menant, Jill-Jênn Vie).","[ ""2.3. Ouvrir les boîtes noires"", ""0. Des modes de participation à l'IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220606_151824-4bc
"Deep Visual Instruments: Realtime Continuous, Meaningful Human Control over Deep Neural Networks for Creative Expression",2021,"[ ""Hugo Scurto"" ]",thèse de doctorat,,"Thèse de doctorat de Memo Akten, artiste, dans le Department of computing de Goldsmiths College, London.",Memo Akten,"[ ""2.3. Ouvrir les boîtes noires"", ""0. Des modes de participation à l'IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220612_163921-cd9
Changer de Cap | Dossier Le contrôle de la CAF contre les droits,2021,"[ ""Hubert Guillaud"" ]",rapport,Changer de cap,,Changer de cap,"[ ""2.3. Ouvrir les boîtes noires"", ""0. Des modes de participation à l'IA"", ""2.5. Instrumenter l'action publique"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20230701_170250-n37
House of Mirrors,2022,"[ ""Marie Lechner"", ""RYBN"" ]",exposition,HMKV,"Exposition sur Pattern Recognition / IA - House of Mirrors à la HMKV à Dortmund (Allemagne). Curation par Marie Lechner, Inke Arns, Francis Hunger",,"[ ""2.3. Ouvrir les boîtes noires"", ""1.1. Définir l'IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220609_230214-49a
Anatomy of an AI system,2018,"[ ""Marie Lechner"" ]",diagramme,,,Kate Crawford and Vladan Joler,"[ ""2.3. Ouvrir les boîtes noires"", ""1.4. Écologiser l’IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220613_001504-iho
AI infrastructures for civil society and the arts,2022,"[ ""Marie Lechner"" ]",programme,HMKV (site web),"HMKV cordially invites you to the online symposium: AI Infrastructures for Civil Society and the Arts in the context of House of Mirrors: Artificial Intelligence as Phantasm. This one-day symposium explores the proposition that a civil society AI infrastructure is needed to provide computational capacity and processes for the fields of art, human rights, ecology, and political activism as a public mission. To this end, a number of individuals have been invited to highlight and then discuss various aspects of civic and artistic AI infrastructure in keynote presentations. The symposium results from the observation that many of the artists* active in the field of Artificial Intelligence are dependent on the infrastructures of Google, Amazon and Nvidia, and that a public AI infrastructure does not yet exist in Germany.","Inke Arns, Dominik Bönisch, Julie Boschat-Thorez, Cristina Cochior, Ariana Dongus, Eva Feuchter, Adam Harvey, Francis Hunger, Marie Lechner, Rosemary Lee, Sarah Grant, Katharina Meyer, Paul Keller, Lorena Jaume-Palasi","[ ""2.3. Ouvrir les boîtes noires"", ""1.4. Écologiser l’IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220618_142557-c5d
Unthinking Photography | Machine vision,2021,"[ ""Marie Lechner"" ]",portfolio,Site web,"Unthinking Photography is a strand of The Photographers’ Gallery digital programme, an online platform for mapping and responding to photography’s role in contemporary culture.",,"[ ""2.3. Ouvrir les boîtes noires"", ""2.1. Performer le social"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20230702_161441-dpn
Et bien dansez maintenant !,2020,"[ ""RYBN"", ""Marie Lechner"" ]",programme,La Gaité Lyrique,Programme de conférences autour du corps et du numérique,Marie Lechner,"[ ""2.3. Ouvrir les boîtes noires"", ""2.1. Performer le social"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20230629_144220-9zn
Patterns of Life | Julien Prévieux,2015,"[ ""RYBN"", ""Marie Lechner"" ]",vidéo,site web perso,Histoire de capture des mouvements,Julien Prévieux,"[ ""2.3. Ouvrir les boîtes noires"", ""2.1. Performer le social"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20230629_145419-hd9
DAIR Institute,2021,"[ ""Lucie Ronfaut"" ]",présentation (recherche),DAIR website,"We are an interdisciplinary and globally distributed AI research institute rooted in the belief that AI is not inevitable, its harms are preventable, and when its production and deployment include diverse perspectives and deliberate processes it can be beneficial. Our research reflects our lived experiences and centers our communities.",DAIR Institute,"[ ""2.3. Ouvrir les boîtes noires"", ""2.2. Produire une critique de l’IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20230701_162948-j7i
Art and Research Projects by Adam Harvey,2021,"[ ""Marie Lechner"" ]",portfolio,Adam Harvey personal website,,Adam Harvey,"[ ""2.3. Ouvrir les boîtes noires"", ""3.2. Expérimenter l’IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20230702_162751-d57
Crowdsourced data analysis | Twitter,2012,"[ ""RYBN"" ]",article de blog,Twitter blog,"Today, we’re excited to open source Clockwork Raven (http://twitter.github.com/clockworkraven/), a web application that allows users to easily submit data to Mechanical Turk (http://en.wikipedia.org/wiki/Amazon_Mechanical_Turk) for manual review and then analyze that data. Clockwork Raven steps in to do what algorithms cannot: it sends your data analysis tasks to real people and gets fast, cheap and accurate results. We use Clockwork Raven to gather tens of thousands of judgments from Mechanical Turk users every week",Chris Aniszczyk,"[ ""2.3. Ouvrir les boîtes noires"", ""3.4. Travailler avec l'IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20230629_144918-8wk
Human Perceptron,2021,"[ ""RYBN"" ]",article scientifique,Interactions,,RYBN.org,"[ ""2.3. Ouvrir les boîtes noires"", ""3.4. Travailler avec l'IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220924_150310-674
GANspire,2021,"[ ""Hugo Scurto"" ]",présentation (recherche),Hugo Scurto personal website,"Objet à comportement, GANspire explore la relation à la respiration en travaillant avec des pneumologues et des tracés respiratoires générés à partir d'un modèle d'IA.",Hugo Scurto,"[ ""2.3. Ouvrir les boîtes noires"", ""3.4. Travailler avec l'IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20230702_152400-3gm
Algoglitch (medialab Sciences Po),2017,"[ ""Dominique Cardon"" ]",livre,médialab,Projet Algoglitch mené par le médialab autour des situations algorithmiques,médialab,"[ ""2.3. Ouvrir les boîtes noires"", ""4.1. Prises, emprises, déprises, reprises"", ""0. Des modes de participation à l'IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220531_104057-qfl
Interdiction des drônes,2020,"[ ""Cécile Crichton"", ""Félix Tréguer"" ]",article de blog,Quadrature du Net,"Article de la Quadrature du Net sur l'interdiction des drônes, décision du Conseil d'état suite à un recours introduit par eux visant la préfecture de Police de Paris.",Quadrature du Net,"[ ""2.4. Réguler l’IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220602_111509-4ti
"LA FRANCE, PREMIER PAYS D’EUROPE À LÉGALISER LA SURVEILLANCE BIOMÉTRIQUE",2023,"[ ""Félix Tréguer"" ]",article de blog,La Quadrature du Net,,La Quadrature du Net,"[ ""2.4. Réguler l’IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20230704_115620-sgj
projet SAFARI d'interconnexion des fichiers,1974,"[ ""Félix Tréguer"" ]",article de presse,Le Monde,Article sur le projet d'interconnexion des fichiers nominatifs de l'administration française,Philippe Boucher,"[ ""2.4. Réguler l’IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220610_170227-isc
